UID,Gender,StressLevel,JournalStyle,W1_usage_time,W2_usage_time,W3_usage_time,W4_usage_time
P001,Male,Moderate,Reflective,18.770723599074365,120.40485723670085,52.669827741817976,36.51770215103813
P002,Male,High,Reflective,6.7849948184938516,6.783851676584208,2.393550744347227,
P003,Female,Moderate,Reflective,36.76328614509058,49.25000246818361,,140.14229900633248
P004,Female,Moderate,Expressive,71.457181734187,9.547505009957879,8.027159549986534,8.104456913290282
P005,Female,Low,Reflective,14.510149178419084,,22.621482671213467,13.76891970215766
P006,Female,Low,Expressive,37.85483495599195,6.009381149093547,13.82062048009609,18.25108872883388
P007,Female,Low,Reflective,24.357387514391,61.517440441236474,8.909434485147612,28.881166201325108
P008,Female,Moderate,Expressive,35.90018885239042,1.9025539902563418,37.41332082598441,
P009,Male,High,Expressive,,118.94751174027724,134.8252136984469,66.09326291251507
P010,Female,Moderate,Expressive,,4.11109260010025,46.11003052394647,23.20363370341593
P011,Male,Low,Reflective,5.2060893581779455,27.341889125366006,1.3997488577391635,
P012,Female,Moderate,Expressive,11.978311073627443,,14.941863266304946,29.364435836369147
P013,Female,High,Reflective,31.6489519192719,8.17554398031623,139.71228530944904,59.68981508552563
P014,Female,High,Reflective,112.20377677166329,90.08607990136787,36.442176495331,101.9774151707762
P015,Male,Moderate,Expressive,3.706218358124625,8.725387785250698,1.8512786274732782,15.741283472123474
P016,Male,High,Expressive,19.685211671768744,12.662417728353027,70.58231460963736,17.649079981194806
P017,Female,High,Reflective,13.192113605369968,31.29628332830984,6.075925912825154,64.81934383098925
P018,Female,Low,Reflective,3.0990347524523605,173.3658535834928,59.179351049660454,8.861577620235439
P019,Female,Low,Reflective,,67.59587109944503,49.08383629548179,52.22651635151996
P020,Female,Moderate,Reflective,59.00858104174054,3.077170620551854,17.7557068966493,4.9260041841779865
P021,Female,Moderate,Reflective,79.54118286632891,39.052047668494964,16.07275205005204,2.6267226321913157
P022,Female,High,Reflective,14.89953401641415,,,40.595574357040796
P023,Female,High,Expressive,87.29007649606059,,,49.96505377266398
P024,Female,High,Expressive,57.215710123074565,32.955499795433155,,27.232589260411117
P025,Male,Moderate,Reflective,29.58715355109068,22.312567756337096,1.0299109596045493,4.566697407674633
P026,Female,Low,Reflective,,40.46918203710198,15.095868351803993,28.417487085367604
P027,Male,High,Expressive,95.25062119383902,11.469552919331933,21.131278995306904,56.349965901543335
P028,Female,Moderate,Reflective,10.392206276695761,3.2041711420070547,13.685612155482282,7.032334340002514
P029,Male,Moderate,Reflective,106.19800343522499,66.03548321938278,40.13976762082124,82.06078922083252
P030,Female,Moderate,Expressive,65.11875762962225,8.259819054345563,89.23253620942245,31.00399607864688
P031,Male,Moderate,Reflective,65.89393165214264,90.56970597144925,15.309228656732738,4.663686404954033
P032,Female,Moderate,Expressive,10.347469845575255,22.282307709944575,68.1531890655578,78.85379887519333
P033,Female,Low,Reflective,0.2790563672660259,28.595046373542232,,10.046693531032979
P034,Male,High,Expressive,5.107215661825872,,114.52484490764598,15.615352115258975
P035,Female,High,Reflective,29.258112230406077,48.5634790752342,18.078979958678495,142.711925531668
P036,Male,High,Reflective,131.2803945816559,,27.506371138553888,14.31721840316187
P037,Male,Moderate,Expressive,,1.5033791106209013,,27.94078531318554
P038,Male,Low,Reflective,2.1140434952156992,13.065036840414773,95.55443804357361,10.954422085683081
P039,Female,Moderate,Expressive,6.26123443941879,26.89088437894545,169.7614793046104,11.085792542389047
P040,Female,Moderate,Reflective,44.606200411891734,57.35550504957851,10.853326893432232,
P041,Male,Low,Reflective,18.34091197057216,40.020149909270856,40.15351308550553,30.69540999809395
P042,Female,Low,Reflective,3.785166352464838,72.14579176985188,15.472411746695865,8.257284264302262
P043,Female,Low,Expressive,1.665190391773808,35.75113618378334,45.27406937069395,0.6690779023388248
P044,Female,High,Expressive,28.705223381979536,10.272965882198307,,7.6641689015653505
P045,Female,High,Expressive,46.968501102708764,19.55834803924407,110.41375271217228,5.917776537571157
P046,Male,Low,Reflective,16.68529735980687,4.817771401479857,103.44761588602894,83.93334828643975
P047,Female,Moderate,Expressive,11.933094802459557,43.15050956175658,67.97936290556885,32.40529442746032
P048,Female,High,Expressive,30.17117640775784,11.075081817516125,3.909045618997629,91.00492900778092
P049,Male,Low,Reflective,92.27097710593708,,16.561860392452957,17.182704632465757
P050,Male,Low,Reflective,51.77861718908473,90.9638939642901,87.24530277586453,
